Org ragione sociale;Studente classe;Org email;telefono;Org sede provincia;Org sede indirizzo;Progetto titolo;Progetto descrizione
DS SMITH PACKAGING ITALIA SPA;4AC TRASPORTI E LOGISTICA ART. COSTRUZIONE DEL MEZ;andreina.fama@dssmith.com;0456649711;VR;VIA NOGAROLE ROCCA5 - VIGASIO;CML01 TECNICO MANUTENZIONE E RIPARAZIONE DI MEZZI DI TRASPORTO E DI MACCHINE INDUSTRIALI\n\n\n\n\n\n;Opera nell’ambito della riparazione e manutenzione conto terzi di mezzi di trasporto, macchine e attrezzature di produzione, sia in officina che presso i siti produttivi dei clienti\n\n\n\n\n\n\n
COMUNE DI VERONA;4AT INFORMATICA E TELECOMUNICAZIONI ART. TELECOMUN;tirocini.lavoro@comune.verona.it;0458077400;VR;P.ZZA BR, 1 - VERONA;TLC02 - Tecnico gestore di reti e di sistemi telematici\n;Le professioni classificate in questa unità assistono i progettisti e amministratori di sistemi installando, configurando, gestendo e manutenendo per gli aspetti software i sistemi telematici ed i relativi sistemi di sicurezza.\n
SIA SRL;4DI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;info@siavr.it;045512900;VR;VIA PACINOTTI 1 - SOMMACAMPAGNA;INF01 - Tecnico programmatore\n\n\n\n;Le professioni classificate in questa unità assistono i progettisti e analisti di software traducendo istruzioni e specifiche di controllo, di procedure o di soluzioni di problemi, in diagrammi logici di flusso per la programmazione in linguaggio informatico sviluppando e scrivendo programmi per memorizzare, ricercare ed elaborare informazioni e dati.\n\n\n\n
RED DI DONATELLI NICOLA;4CE ELETTRONICA ED ELETTROTECNICA ART. ELETTRONICA;;0457901340;VR;VIA MESSEDAGLIA - VILLAFRANCA DI VERONA;ELE02 - CABLATORE/MANUTENTORE DI IMPIANTI ELETTRICI.\n\n\n\n;La figura effettua il cablaggio e messa in opera dei quadri elettrici bordo macchina per l’automazione civile e industriale.  Inoltre installa sistemi e apparecchiature elettroniche.\n\n\n\n
INFOLAB DATA SRL;3CI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;info@infolabdata.it;0455117307;VR;VIA VILLABELLA 18 - SAN BONIFACIO;INF01 - Tecnico programmatore\n\n\n\n\n;Le professioni classificate in questa unità assistono i progettisti e analisti di software traducendo istruzioni e specifiche di controllo, di procedure o di soluzioni di problemi, in diagrammi logici di flusso per la programmazione in linguaggio informatico sviluppando e scrivendo programmi per memorizzare, ricercare ed elaborare informazioni e dati.\n\n\n\n\n
AUTOSCUOLA ARENA DI MARTORANA BENEDETTO E C. SAS;4AL TRASPORTI E LOGISTICA ART. LOGISTICA;autoscuolaarena@hotmail.com;;VR;VIA PO 25 - VERONA;LOG03 Tecnico della gestione dei processi produttivi di beni e servizi\n\n\n\n\n\n\n\n;Applicano procedure, regolamenti e tecnologie proprie per gestire, controllare, organizzare e garantire l'efficienza e la corretta erogazione dei servizi e ne verificano la qualità\n\n\n\n\n\n\n\n
AUTOSCUOLA ARENA DI MARTORANA BENEDETTO E C. SAS;5AL TRASPORTI E LOGISTICA ART. LOGISTICA;autoscuolaarena@hotmail.com;;VR;VIA PO 25 - VERONA; LOG01 Responsabile di magazzino e della distribuzione interna\n\n\n\n;Gestiscono la movimentazione interna ai magazzini, ne valutano la qualità, provvedono alla eventuale formazione di UdC o imballaggi vari, gestiscono il picking e l’allocazione interna delle merci valutando tempi e costi\n\n\n
AUTOTRASPORTI TEZZA CLEMENTE SRL;4AL TRASPORTI E LOGISTICA ART. LOGISTICA;info@tezzaautotrasporti.it;045907434;VR;VIA NICOLO'MARCOZENI 12 - GREZZANA;LOG06 Tecnico del trasporto modale ed intermodale \n\n;Coordina le attività di trasporto( navale, stradale, ferroviario ed aereo) vigilando sul rispetto delle regole e controlla il corretto utilizzo di aree  e beni\n\n\n
COOP. SERVICE SOCIETA' COOPERATIVA;5AL TRASPORTI E LOGISTICA ART. LOGISTICA;info@coopservice.info;0302594360;BS;VIA NAPOLEONICA,7 - REZZATO;LOG01 Responsabile di magazzino e della distribuzione interna\n\n\n;\nGestiscono la movimentazione interna ai magazzini, ne valutano la qualità, provvedono alla eventuale formazione di UdC o imballaggi vari, gestiscono il picking e l’allocazione interna delle merci valutando tempi e costi\n\n
ASSOCIAZIONE VERONA FABLAB;3FI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATICA;scuola@veronafablab.it;3440458663;VR;VIALE DEL LAVORO 2 - GREZZANA;FABLAB - ALTERNALAB - IOT\n\n\n\n;Un laboratorio di programmazione e prototipazione sull’ Internet of Things per apprendere la basi della programmazione di oggetti intelligenti e interconnessi. \n\n\n\n
KUEHNE + NAGEL SRL;4BL TRASPORTI E LOGISTICA ART. LOGISTICA;info.verona@kuehne-nagel.com;0458588526;MI;VIA DEL COMMERCIO 2 - CALVIGNASCO;LOG03 Tecnico della gestione dei processi produttivi di beni e servizi\n\n\n\n\n\n\n\n;Applicano procedure, regolamenti e tecnologie proprie per gestire, controllare, organizzare e garantire l'efficienza e la corretta erogazione dei servizi e ne verificano la qualità\n\n\n\n\n\n\n\n
KUEHNE + NAGEL SRL;4BL TRASPORTI E LOGISTICA ART. LOGISTICA;info.verona@kuehne-nagel.com;0458588526;MI;VIA DEL COMMERCIO 2 - CALVIGNASCO;;
Q-TEK SRL;4BE ELETTRONICA ED ELETTROTECNICA ART. ELETTRONICA;info@q-tek.it;0454732083;VR;STADA DELLE TRINCEE 13 - VERONA;ELE02 - CABLATORE/MANUTENTORE DI IMPIANTI ELETTRICI.\n\n\n\n;La figura effettua il cablaggio e messa in opera dei quadri elettrici bordo macchina per l’automazione civile e industriale.  Inoltre installa sistemi e apparecchiature elettroniche.\n\n\n\n
COMITEL SRL;4AT INFORMATICA E TELECOMUNICAZIONI ART. TELECOMUN;ufficio.tecnico@comitel.com;045500577;VR;VIA LUSSEMBURGO 13 - VERONA;TLC07 - Tecnici per le telecomunicazioni\n\n\n\n\n\n\n\n\n\n;Le professioni classificate in questa unità curano l'installazione, il montaggio, la messa in servizio e la manutenzione delle componenti fisiche di reti informatiche, telefoniche, di impianti radiotelevisivi e satellitari e altre reti di sistemi di informazione elettronica per la trasmissione di dati e immagini.\n\n\n
RFI RETE FERROVIARIA ITALIANA;5BE ELETTRONICA ED ELETTROTECNICA ART. ELETTRONICA;;;VR;Piazzale XXV Aprile - VERONA;ELN02 - CABLATORE/MANUTENTORE DI IMPIANTI ELETTRICI.\n\n;La figura effettua il cablaggio e messa in opera dei quadri elettrici bordo macchina per l’automazione civile e industriale.  Inoltre installa sistemi e apparecchiature elettroniche.\n\n
TECNAUTO DI FASOLI FLAMINIO;4AC TRASPORTI E LOGISTICA ART. COSTRUZIONE DEL MEZ;;0458103628;VR;VIA G.CABOTO 1A - VERONA;CML01 TECNICO MANUTENZIONE E RIPARAZIONE DI MEZZI DI TRASPORTO E DI MACCHINE INDUSTRIALI\n\n\n\n\n;Opera nell’ambito della riparazione e manutenzione conto terzi di mezzi di trasporto, macchine e attrezzature di produzione, sia in officina che presso i siti produttivi dei clienti\n\n\n\n\n\n
MODENINI SRL;4CE ELETTRONICA ED ELETTROTECNICA ART. ELETTRONICA;info@modenini.it;0457363899;VR;VIA DELL'INDUSTRIA, 6 - VIGASIO;CML01 TECNICO MANUTENZIONE E RIPARAZIONE DI MEZZI DI TRASPORTO E DI MACCHINE INDUSTRIALI\n\n\n\n\n;Opera nell’ambito della riparazione e manutenzione conto terzi di mezzi di trasporto, macchine e attrezzature di produzione, sia in officina che presso i siti produttivi dei clienti\n\n\n\n\n\n
CASA DI RIPOSO B. ALBERTINI;4AL TRASPORTI E LOGISTICA ART. LOGISTICA;direzione@cralbertini.it;0457301562;VR;VIA DEL DONATORE DI SANGUE - ISOLA DELLA SCALA;LOG01 Responsabile di magazzino e della distribuzione interna\n\n\n;\nGestiscono la movimentazione interna ai magazzini, ne valutano la qualità, provvedono alla eventuale formazione di UdC o imballaggi vari, gestiscono il picking e l’allocazione interna delle merci valutando tempi e costi\n\n
REWAL S.N.C. DI MILANI E REGGIANI;4BE ELETTRONICA ED ELETTROTECNICA ART. ELETTRONICA;inforewal@rewal.it;0457514944;VR;VIA L. DA VINCI, 5/C - ARBIZZANO;ELE02 - CABLATORE/MANUTENTORE DI IMPIANTI ELETTRICI.\n\n\n\n;La figura effettua il cablaggio e messa in opera dei quadri elettrici bordo macchina per l’automazione civile e industriale.  Inoltre installa sistemi e apparecchiature elettroniche.\n\n\n\n
RTC SPA;4EI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;luca.mingon@rtc-spa.it;0458738711;ZEVIO VR;VIA EDISON, 31 LOC.CAMPAGNOLA - VERONA;INF01 - Tecnico programmatore\n\n\n\n\n;Le professioni classificate in questa unità assistono i progettisti e analisti di software traducendo istruzioni e specifiche di controllo, di procedure o di soluzioni di problemi, in diagrammi logici di flusso per la programmazione in linguaggio informatico sviluppando e scrivendo programmi per memorizzare, ricercare ed elaborare informazioni e dati.\n\n\n\n\n
RTC SPA;4EI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;luca.mingon@rtc-spa.it;0458738711;ZEVIO VR;VIA EDISON, 31 LOC.CAMPAGNOLA - VERONA;;
ASSOCIAZIONE VERONA FABLAB;3FI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATICA;scuola@veronafablab.it;3440458663;VR;VIALE DEL LAVORO 2 - GREZZANA;FABLAB - ALTERNALAB - IOT\n\n\n\n;Un laboratorio di programmazione e prototipazione sull’ Internet of Things per apprendere la basi della programmazione di oggetti intelligenti e interconnessi. \n\n\n\n
STM PRODUCTS S.R.L.;4AE ELETTRONICA ED ELETTROTECNICA ART. ELETTRONICA;info@stm-products.com ;045585700;VR;VIA MORGAGNI 14 - VERONA;ELE01 - COLLAUDATORE DI SCHEDE ELETTRONICHE\n\n;La figura verifica che il funzionamento della scheda elettronica risponda ai requisiti di corretto funzionamento stabiliti in fase di progetto. A tal scopo utilizza apposita strumentazione elettronica di misurazione per effettuare test diagnostici.\n\n\n
VERONA REV SRL;3AC TRASPORTI E LOGISTICA ART. COSTRUZIONE DEL MEZ;info@veronarevsrl.it;045 506688;VR;VIA E.TORRICELLI 10/B - VERONA;CML01 TECNICO MANUTENZIONE E RIPARAZIONE DI MEZZI DI TRASPORTO E DI MACCHINE INDUSTRIALI\n\n\n\n\n;Opera nell’ambito della riparazione e manutenzione conto terzi di mezzi di trasporto, macchine e attrezzature di produzione, sia in officina che presso i siti produttivi dei clienti\n\n\n\n\n\n
ELETTROMECCANICA GARDESANA SRL;4CE ELETTRONICA ED ELETTROTECNICA ART. ELETTRONICA;info@elettromeccanicagardesana.it;045 7550666;VR;VIA STAZIONE 128/B - CASTELNUOVO DEL GARDA;ELE02 - CABLATORE/MANUTENTORE DI IMPIANTI ELETTRICI.\n\n\n\n;La figura effettua il cablaggio e messa in opera dei quadri elettrici bordo macchina per l’automazione civile e industriale.  Inoltre installa sistemi e apparecchiature elettroniche.\n\n\n\n
FORNACE S.R.L.;4CI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;info@fornacestudio.com;0456800977;VR;VIA ISONZO ,11 - VERONA;;
ACLI PROVINCIALI DI VERONA;4EI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;martina.tommasi@acliverona.it;0459275000;VR;VIA SCRIMINARI 24A - VERONA;INF02 - Sviluppatore di applicazioni per il web e multimediali\n;Le professioni comprese in questa unità si occupano dell'ideazione, della realizzazione, dell'integrazione e della verifica dei software impiegati in un sito o in un'applicazione web. Progettano dal punto di vista funzionale siti e applicazioni web, scelgono le tecnologie più adatte in termini di costi, efficienza e affidabilità programmano le funzionalità necessarie eseguono test e simulazioni per valutare l'accessibilità, l'usabilità, la robustezza e la sicurezza delle soluzioni realizzate.\n\n\n
NEUFRA SPEDIZIONI SRL;4AL TRASPORTI E LOGISTICA ART. LOGISTICA;verona@neufra.it;0458774111;VR;VIA CA'NOVA ZAMPIERI 4E - SAN GIOVANNI LUPATOTO;LOG06 Tecnico del trasporto modale ed intermodale \n\n;Coordina le attività di trasporto( navale, stradale, ferroviario ed aereo) vigilando sul rispetto delle regole e controlla il corretto utilizzo di aree  e beni\n\n\n
NOVA SYSTEMS SERVICES S.R.L.;4BL TRASPORTI E LOGISTICA ART. LOGISTICA;bavesani@novasystems.it;0458788211;VR;VIALE DEL LAVORO, 39 - SAN MARTINO BUON ALBERGO;LOG03 Tecnico della gestione dei processi produttivi di beni e servizi\n\n\n\n\n\n\n\n;Applicano procedure, regolamenti e tecnologie proprie per gestire, controllare, organizzare e garantire l'efficienza e la corretta erogazione dei servizi e ne verificano la qualità\n\n\n\n\n\n\n\n
ASSOCIAZIONE VERONA FABLAB;3AE ELETTRONICA ED ELETTROTECNICA ART. ELETTRONICA;scuola@veronafablab.it;3440458663;VR;VIALE DEL LAVORO 2 - GREZZANA;FabLab - AlternaLab - IOT\n\n\n;Un laboratorio di programmazione e prototipazione sull’ Internet of Things per apprendere la basi della programmazione di oggetti intelligenti e interconnessi. \n\n\n
MOTOR SERVICE SAS DI CARMINE MUTO & C.;4AL TRASPORTI E LOGISTICA ART. LOGISTICA;;0456700685;VR;VIA EMILIA 16 - SONA; LOG01 Responsabile di magazzino e della distribuzione interna\n\n\n\n;Gestiscono la movimentazione interna ai magazzini, ne valutano la qualità, provvedono alla eventuale formazione di UdC o imballaggi vari, gestiscono il picking e l’allocazione interna delle merci valutando tempi e costi\n\n\n
MIOINDIRIZZO SRL;4BI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;info@mioindirizzo.com;0459200030;VR;VIA ENRICO FERMI, 11/A - VERONA;INF01 - Tecnico programmatore\n\n\n\n;Le professioni classificate in questa unità assistono i progettisti e analisti di software traducendo istruzioni e specifiche di controllo, di procedure o di soluzioni di problemi, in diagrammi logici di flusso per la programmazione in linguaggio informatico sviluppando e scrivendo programmi per memorizzare, ricercare ed elaborare informazioni e dati.\n\n\n\n
FORNACE S.R.L.;4AI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;info@fornacestudio.com;0456800977;VR;VIA ISONZO ,11 - VERONA;INF02 - Sviluppatore di applicazioni per il web e multimediali\n\n;Le professioni comprese in questa unità si occupano dell'ideazione, della realizzazione, dell'integrazione e della verifica dei software impiegati in un sito o in un'applicazione web. Progettano dal punto di vista funzionale siti e applicazioni web, scelgono le tecnologie più adatte in termini di costi, efficienza e affidabilità programmano le funzionalità necessarie eseguono test e simulazioni per valutare l'accessibilità, l'usabilità, la robustezza e la sicurezza delle soluzioni realizzate.\n\n\n\n
ROSSETTO TRADE SPA;4AL TRASPORTI E LOGISTICA ART. LOGISTICA;panificio@rossettogroup.it;0456861622;VR;VIA FRIULI 5 - LUGAGNANO DI SONA;LOG01 Responsabile di magazzino e della distribuzione interna\n\n\n;\nGestiscono la movimentazione interna ai magazzini, ne valutano la qualità, provvedono alla eventuale formazione di UdC o imballaggi vari, gestiscono il picking e l’allocazione interna delle merci valutando tempi e costi\n\n
CASA DI RIPOSO B. ALBERTINI;4EI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;direzione@cralbertini.it;0457301562;VR;VIA DEL DONATORE DI SANGUE - ISOLA DELLA SCALA;INF01 - Tecnico programmatore\n\n\n\n;Le professioni classificate in questa unità assistono i progettisti e analisti di software traducendo istruzioni e specifiche di controllo, di procedure o di soluzioni di problemi, in diagrammi logici di flusso per la programmazione in linguaggio informatico sviluppando e scrivendo programmi per memorizzare, ricercare ed elaborare informazioni e dati.\n\n\n\n
RTC SPA;4BI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;luca.mingon@rtc-spa.it;0458738711;ZEVIO VR;VIA EDISON, 31 LOC.CAMPAGNOLA - VERONA;INF06 - Addetto alla manutenzione hardware e software\n\n\n\n\n\n;Le professioni comprese in questa unità installano, riparano e testano apparecchiature informatiche installano, mantengono e sostituiscono parti di personal computer e delle loro componenti periferiche.\n\n
UNIVERSITA' DEGLI STUDI DI VERONA;4BI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;segreteria.di@ateneo.univr.it ;0458027071;VR;STRADA LE GRAZIE 8 - VERONA;INF01 - Tecnico programmatore\n\n\n\n;Le professioni classificate in questa unità assistono i progettisti e analisti di software traducendo istruzioni e specifiche di controllo, di procedure o di soluzioni di problemi, in diagrammi logici di flusso per la programmazione in linguaggio informatico sviluppando e scrivendo programmi per memorizzare, ricercare ed elaborare informazioni e dati.\n\n\n\n
ACCIAIERIE DI VERONA;4BE ELETTRONICA ED ELETTROTECNICA ART. ELETTRONICA;riccardo.olivieri@pittini.it;0458058515;UD;ZONA INDUSTRIALE RIVOLI - OSOPPO;ELE05 - INSTALLATORE/MANUTENTORE DI IMPIANTI/SISTEMI DI AUTOMAZIONE.\n\n\n;la figura si prefigge di: leggere e creare schemi elettrici, topografici, planimetrici anche con l'ausilio di strumenti informatici collaborare nella messa a punto degli impianti elettrici, nella regolazione delle apparecchiature e nella fase di collaudo eseguire l'installazione di impianti elettrici, delle verifiche, della ricerca di eventuali anomalie e loro riparazione analizzare la documentazione tecnica, i capitolati e le specifiche del committente programmare automatismi di comando e movimentazione con PLC.\n\n\n
VICENTINI SPA;4BE ELETTRONICA ED ELETTROTECNICA ART. ELETTRONICA;sara.modena@vicentini.it;0452085111;VR;VIA GARDESANE 49 - VERONA;ELE03 - ADDETTO ALLA DIAGNOSI ELETTRONICA DELL’AUTOVEICOLO\n\n\n\n\n;La figura professionale è in grado di eseguire, su precise indicazioni, operazioni di manutenzione leggera dell’auto, con interventi di normale difficoltà su complessivi e loro parti è inoltre in grado di individuare, con l’uso di attrezzature specifiche, anomalie di funzionamento dell’autoveicolo.\n\n\n\n\n
ECONOMICS LIVING LAB;4BI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;info@econlivlab.eu;3473201905;VR;CORSO CAVOUR 76 - ZEVIO;INF01 - Tecnico programmatore\n\n\n\n;Le professioni classificate in questa unità assistono i progettisti e analisti di software traducendo istruzioni e specifiche di controllo, di procedure o di soluzioni di problemi, in diagrammi logici di flusso per la programmazione in linguaggio informatico sviluppando e scrivendo programmi per memorizzare, ricercare ed elaborare informazioni e dati.\n\n\n\n
